scale	item	tau
gsed	aqicmc033	58.74
gsed	aqicmc038	65.81
gsed	aqicmc040	65.66
gsed	aqicmc061	70.63
gsed	aqifmc025	53.17
gsed	aqifmc033	69.64
gsed	aqigmc012	35.84
gsed	aqigmc018	41.2
gsed	aqigmc020	44.38
gsed	aqigmc021	43.28
gsed	aqigmc022	46.79
gsed	aqigmc023	46.56
gsed	aqigmc024	50.06
gsed	aqigmc026	50.77
gsed	aqigmc027	50.62
gsed	aqipxc037	67.76
gsed	aqipxc043	66.5
gsed	barxxx005	36.49
gsed	barxxx006	40.16
gsed	barxxx007	44.95
gsed	barxxx008	43.04
gsed	barxxx009	43.86
gsed	barxxx010	48.84
gsed	barxxx011	49.89
gsed	barxxx012	49.99
gsed	barxxx014	60.9
gsed	barxxx015	63.55
gsed	barxxx017	71.27
gsed	barxxx018	69.64
gsed	barxxx019	69.87
gsed	by1mdd039	36.29
gsed	by1mdd044	36.82
gsed	by1mdd046	34.68
gsed	by1mdd047	30.82
gsed	by1mdd051	33.67
gsed	by1mdd054	35.17
gsed	by1mdd056	36.91
gsed	by1mdd057	34.29
gsed	by1mdd058	36.16
gsed	by1mdd060	37.93
gsed	by1mdd062	37.75
gsed	by1mdd063	35.98
gsed	by1mdd064	36.28
gsed	by1mdd066	35.29
gsed	by1mdd067	37.54
gsed	by1mdd068	36.01
gsed	by1mdd069	36.53
gsed	by1mdd070	38.68
gsed	by1mdd071	37.06
gsed	by1mdd072	36.07
gsed	by1mdd073	38.61
gsed	by1mdd078	38.93
gsed	by1mdd080	39.97
gsed	by1mdd086	43.59
gsed	by1mdd088	42.83
gsed	by1mdd089	46.59
gsed	by1mdd090	44.53
gsed	by1mdd091	43.41
gsed	by1mdd094	46.38
gsed	by1mdd095	47.48
gsed	by1mdd096	49.22
gsed	by1mdd097	46.64
gsed	by1mdd098	47.8
gsed	by1mdd099	46.2
gsed	by1mdd100	47.12
gsed	by1mdd101	48.72
gsed	by1mdd102	46.58
gsed	by1mdd103	46.23
gsed	by1mdd104	49.01
gsed	by1mdd105	48.82
gsed	by1mdd106	51.03
gsed	by1mdd107	47.87
gsed	by1mdd108	49.67
gsed	by1mdd111	53.17
gsed	by1mdd112	51.71
gsed	by1mdd113	52.78
gsed	by1mdd115	51.73
gsed	by1mdd116	50.61
gsed	by1mdd117	52.92
gsed	by1mdd118	54.08
gsed	by1mdd119	57.53
gsed	by1mdd131	57.32
gsed	by1mdd134	57.75
gsed	by1mdd136	59.81
gsed	by1mdd143	60.87
gsed	by1pdd020	38.51
gsed	by1pdd023	33.94
gsed	by1pdd025	35.79
gsed	by1pdd027	36.5
gsed	by1pdd028	36.49
gsed	by1pdd029	37.74
gsed	by1pdd030	37.72
gsed	by1pdd031	38.04
gsed	by1pdd034	37.35
gsed	by1pdd038	32.21
